q,is_sophie_germain,degree,singular_series,BH_predicted,actual_count,ratio,d_eff,penalty_factor
3,True,2,3.3620,9686136,9389636,0.9694,0.59,0.8333
5,True,4,3.6780,5298379,5179467,0.9776,1.09,0.7000
7,False,6,5.2307,5023437,4934525,0.9823,1.15,
11,True,10,4.0121,2311831,2276588,0.9848,2.49,0.5909
13,False,12,5.6507,2713362,2680970,0.9881,2.12,
17,False,16,6.8030,2450033,2428628,0.9913,2.35,
19,False,18,8.8862,2844666,2820041,0.9913,2.03,
23,True,22,4.2629,1116532,1109005,0.9933,5.16,0.5435
31,False,30,9.6335,1850340,1837055,0.9928,3.11,
37,False,36,7.3604,1178114,1170454,0.9935,4.89,
41,True,40,5.7425,827232,823253,0.9952,6.97,0.5244
43,False,42,7.7123,1058089,1051232,0.9935,5.45,
47,False,46,8.6826,1087632,1083547,0.9962,5.30,
53,True,52,6.0622,671764,668230,0.9947,8.58,0.5189
61,False,60,9.1618,879873,875977,0.9956,6.55,
71,False,70,9.5966,789963,788164,0.9977,7.29,
83,True,82,4.9394,347093,347353,1.0007,16.60,0.5120
167,False,166,14.2436,494425,493941,0.9990,11.65,
